,x,y,model_size,comm1,comm2,dataset_size,compute_rate,learning_time,use_status
global,70,70,95.3,18.7875,120.3275,,,,
Client1,30,20,95.3,50.10625,120.3275,21.0,16.0,336.0,
Client2,90,10,95.3,18.7875,120.3275,132.4,55.0,7282.0,
Client3,60,85,95.3,18.7875,100.185,132.4,28.0,3707.2000000000003,
Client1_agent1,37,14,95.3,18.7875,120.3275,21.0,2.25,47.25,1.0
Client1_agent2,25,25,95.3,50.10625,120.3275,21.0,2.25,47.25,1.0
Client2_agent1,97,14,95.3,50.10625,120.3275,132.4,2.25,297.90000000000003,0.0
Client2_agent2,85,20,95.3,18.7875,120.3275,132.4,2.25,297.90000000000003,1.0
Client3_agent1,63,74,95.3,18.7875,120.3275,132.4,2.25,297.90000000000003,1.0
Client3_agent2,50,90,95.3,18.7875,120.3275,132.4,5.7,754.6800000000001,0.0
