,Client1__Finaltime,Client1_deploytime,Client1_iteration,Client1_la,Client1_la_time,Client1_time,Client1_usingDevice,Client2__Finaltime,Client2_deploytime,Client2_iteration,Client2_la,Client2_la_time,Client2_time,Client2_usingDevice,Client3__Finaltime,Client3_deploytime,Client3_iteration,Client3_la,Client3_la_time,Client3_time,Client3_usingDevice,max_roundtime,total_roundtime,acc_aggre
Round1,25.611670539515504,0.7488430237068017,500.0,Client1_agent2,25.611670539515504,168.59269193470354,Client1_agent2,,,,,,,,152.896186116655,0.7005482392447613,500.0,Client3_agent1,152.896186116655,1854.4401286944976,Client3_agent1,153.6450291403618,153.6450291403618,0.040871052147579516
Round2,25.527114144497833,0.7241168040044308,500.0,Client1_agent2,25.527114144497833,168.58161781752335,Client1_agent2,152.30515576700984,0.7359694703116761,500.0,Client2_agent2,152.30515576700984,3641.7723610803687,Client2_agent2,,,,,,,,153.04112523732152,153.04112523732152,0.08152930733753153
Round3,,,,,,,,152.28050236498075,0.7489589100621291,500.0,Client2_agent2,152.28050236498075,3641.7707353426995,Client2_agent2,152.82334078256204,0.8146688968584014,500.0,Client3_agent1,152.82334078256204,1854.5089463503114,Client3_agent1,153.63800967942043,153.63800967942043,0.15060855069082335
Round4,25.673327332672475,0.8409160188739039,500.0,Client1_agent2,25.673327332672475,168.68122729034238,Client1_agent2,152.3439306047226,0.8205889493505766,500.0,Client2_agent2,152.3439306047226,3641.7634755916674,Client2_agent2,,,,,,,,153.1848466235965,153.1848466235965,0.1896554933608844
Round5,25.618790026710975,0.7880966098980104,500.0,Client1_agent2,25.618790026710975,168.59691060797948,Client1_agent2,152.1582016988315,0.7835875670688388,500.0,Client2_agent2,152.1582016988315,3641.6879223547,Client2_agent2,,,,,,,,152.94629830872952,152.94629830872952,0.2277679132309901
Round6,,,,,,,,152.28101058442996,0.7514276994064409,500.0,Client2_agent2,152.28101058442996,3641.721510394628,Client2_agent2,152.8918589464042,0.7902890913996202,500.0,Client3_agent1,152.8918589464042,1854.547876817547,Client3_agent1,153.6821480378038,153.6821480378038,0.2909067587907904
Round7,,,,,,,,152.30054624587194,0.7010917378155394,500.0,Client2_agent2,152.30054624587194,3641.8039297893692,Client2_agent2,152.8676566685666,0.801017470031373,500.0,Client3_agent1,152.8676566685666,1854.590097566271,Client3_agent1,153.668674138598,153.668674138598,0.3501284026141594
Round8,25.61719657654374,0.7356374768925033,500.0,Client1_agent2,25.61719657654374,168.61618933774992,Client1_agent2,152.22006126324436,0.8010055196422423,500.0,Client2_agent2,152.22006126324436,3641.783348905723,Client2_agent2,,,,,,,,153.0210667828866,153.0210667828866,0.3824480851682481
Round9,25.615586519031005,0.8148459127712787,500.0,Client1_agent2,25.615586519031005,168.572733673006,Client1_agent2,152.3620100268922,0.8024093068538192,500.0,Client2_agent2,152.3620100268922,3641.7163425754065,Client2_agent2,,,,,,,,153.17685593966348,153.17685593966348,0.4132266852745412
Round10,25.714210331423487,0.701368960474967,500.0,Client1_agent2,25.714210331423487,168.6844626929557,Client1_agent2,,,,,,,,152.5723806367645,0.7279214222525913,500.0,Client3_agent1,152.5723806367645,1854.4245298328199,Client3_agent1,153.3003020590171,153.3003020590171,0.44242261293798857
