,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10
Client1__Finaltime,25.611670539515504,25.527114144497833,,25.673327332672475,25.618790026710975,,,25.61719657654374,25.615586519031005,25.714210331423487
Client1_deploytime,0.7488430237068017,0.7241168040044308,,0.8409160188739039,0.7880966098980104,,,0.7356374768925033,0.8148459127712787,0.701368960474967
Client1_iteration,500.0,500.0,,500.0,500.0,,,500.0,500.0,500.0
Client1_la,Client1_agent2,Client1_agent2,,Client1_agent2,Client1_agent2,,,Client1_agent2,Client1_agent2,Client1_agent2
Client1_la_time,25.611670539515504,25.527114144497833,,25.673327332672475,25.618790026710975,,,25.61719657654374,25.615586519031005,25.714210331423487
Client1_time,168.59269193470354,168.58161781752335,,168.68122729034238,168.59691060797948,,,168.61618933774992,168.572733673006,168.6844626929557
Client1_usingDevice,Client1_agent2,Client1_agent2,,Client1_agent2,Client1_agent2,,,Client1_agent2,Client1_agent2,Client1_agent2
Client2__Finaltime,,152.30515576700984,152.28050236498075,152.3439306047226,152.1582016988315,152.28101058442996,152.30054624587194,152.22006126324436,152.3620100268922,
Client2_deploytime,,0.7359694703116761,0.7489589100621291,0.8205889493505766,0.7835875670688388,0.7514276994064409,0.7010917378155394,0.8010055196422423,0.8024093068538192,
Client2_iteration,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,
Client2_la,,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,
Client2_la_time,,152.30515576700984,152.28050236498075,152.3439306047226,152.1582016988315,152.28101058442996,152.30054624587194,152.22006126324436,152.3620100268922,
Client2_time,,3641.7723610803687,3641.7707353426995,3641.7634755916674,3641.6879223547,3641.721510394628,3641.8039297893692,3641.783348905723,3641.7163425754065,
Client2_usingDevice,,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,
Client3__Finaltime,152.896186116655,,152.82334078256204,,,152.8918589464042,152.8676566685666,,,152.5723806367645
Client3_deploytime,0.7005482392447613,,0.8146688968584014,,,0.7902890913996202,0.801017470031373,,,0.7279214222525913
Client3_iteration,500.0,,500.0,,,500.0,500.0,,,500.0
Client3_la,Client3_agent1,,Client3_agent1,,,Client3_agent1,Client3_agent1,,,Client3_agent1
Client3_la_time,152.896186116655,,152.82334078256204,,,152.8918589464042,152.8676566685666,,,152.5723806367645
Client3_time,1854.4401286944976,,1854.5089463503114,,,1854.547876817547,1854.590097566271,,,1854.4245298328199
Client3_usingDevice,Client3_agent1,,Client3_agent1,,,Client3_agent1,Client3_agent1,,,Client3_agent1
max_roundtime,153.6450291403618,153.04112523732152,153.63800967942043,153.1848466235965,152.94629830872952,153.6821480378038,153.668674138598,153.0210667828866,153.17685593966348,153.3003020590171
total_roundtime,153.6450291403618,153.04112523732152,153.63800967942043,153.1848466235965,152.94629830872952,153.6821480378038,153.668674138598,153.0210667828866,153.17685593966348,153.3003020590171
acc_aggre,0.040871052147579516,0.08152930733753153,0.15060855069082335,0.1896554933608844,0.2277679132309901,0.2909067587907904,0.3501284026141594,0.3824480851682481,0.4132266852745412,0.44242261293798857
