,Client1__Finaltime,Client1_deploytime,Client1_iteration,Client1_la,Client1_la_time,Client1_time,Client1_usingDevice,Client2__Finaltime,Client2_deploytime,Client2_iteration,Client2_la,Client2_la_time,Client2_time,Client2_usingDevice,Client3__Finaltime,Client3_deploytime,Client3_iteration,Client3_la,Client3_la_time,Client3_time,Client3_usingDevice,max_roundtime,total_roundtime,acc_aggre
Round1,168.61506759147952,0.8381806098161367,500.0,None,0.0,168.61506759147952,Client1,,,,,,,,1854.5709620798903,0.7389410596906942,500.0,None,0.0,1854.5709620798903,Client3,1855.4091426897064,1855.4091426897064,0.040871052147579516
Round2,168.6343069842205,0.7424157712224786,500.0,None,0.0,168.6343069842205,Client1,3641.787911642434,0.8471337461209454,500.0,None,0.0,3641.787911642434,Client2,,,,,,,,3642.635045388555,3642.635045388555,0.08152930733753153
Round3,,,,,,,,3641.7666187587934,0.7481928226806378,500.0,None,0.0,3641.7666187587934,Client2,1854.4995654872316,0.7489967946858145,500.0,None,0.0,1854.4995654872316,Client3,3642.514811581474,3642.514811581474,0.15060855069082335
Round4,168.58973698999722,0.7097978126430847,500.0,None,0.0,168.58973698999722,Client1,3641.8259128712475,0.7387532964075015,500.0,None,0.0,3641.8259128712475,Client2,,,,,,,,3642.564666167655,3642.564666167655,0.1896554933608844
Round5,168.5789481805139,0.7558866847785743,500.0,None,0.0,168.5789481805139,Client1,3641.831134504985,0.813072049926662,500.0,None,0.0,3641.831134504985,Client2,,,,,,,,3642.6442065549118,3642.6442065549118,0.2277679132309901
Round6,,,,,,,,3641.695836749839,0.7854719440522666,500.0,None,0.0,3641.695836749839,Client2,1854.4762908990272,0.7239178143081417,500.0,None,0.0,1854.4762908990272,Client3,3642.4813086938916,3642.4813086938916,0.2909067587907904
Round7,,,,,,,,3641.833738247753,0.776761928332877,500.0,None,0.0,3641.833738247753,Client2,1854.5737766285422,0.8191215834344457,500.0,None,0.0,1854.5737766285422,Client3,3642.6105001760857,3642.6105001760857,0.3501284026141594
Round8,168.6933714597878,0.7874443899109042,500.0,None,0.0,168.6933714597878,Client1,3641.8515767356894,0.7666331505649637,500.0,None,0.0,3641.8515767356894,Client2,,,,,,,,3642.6390211256003,3642.6390211256003,0.3824480851682481
Round9,168.656282629437,0.7534411602140467,500.0,None,0.0,168.656282629437,Client1,3641.807651947309,0.8050038761127671,500.0,None,0.0,3641.807651947309,Client2,,,,,,,,3642.6126558234214,3642.6126558234214,0.4132266852745412
Round10,168.6239996762071,0.8111845890704503,500.0,None,0.0,168.6239996762071,Client1,,,,,,,,1854.5832014520322,0.73186370214486,500.0,None,0.0,1854.5832014520322,Client3,1855.3943860411027,1855.3943860411027,0.44242261293798857
