,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10
Client1__Finaltime,168.61506759147952,168.6343069842205,,168.58973698999722,168.5789481805139,,,168.6933714597878,168.656282629437,168.6239996762071
Client1_deploytime,0.8381806098161367,0.7424157712224786,,0.7097978126430847,0.7558866847785743,,,0.7874443899109042,0.7534411602140467,0.8111845890704503
Client1_iteration,500.0,500.0,,500.0,500.0,,,500.0,500.0,500.0
Client1_la,None,None,,None,None,,,None,None,None
Client1_la_time,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0
Client1_time,168.61506759147952,168.6343069842205,,168.58973698999722,168.5789481805139,,,168.6933714597878,168.656282629437,168.6239996762071
Client1_usingDevice,Client1,Client1,,Client1,Client1,,,Client1,Client1,Client1
Client2__Finaltime,,3641.787911642434,3641.7666187587934,3641.8259128712475,3641.831134504985,3641.695836749839,3641.833738247753,3641.8515767356894,3641.807651947309,
Client2_deploytime,,0.8471337461209454,0.7481928226806378,0.7387532964075015,0.813072049926662,0.7854719440522666,0.776761928332877,0.7666331505649637,0.8050038761127671,
Client2_iteration,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,
Client2_la,,None,None,None,None,None,None,None,None,
Client2_la_time,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Client2_time,,3641.787911642434,3641.7666187587934,3641.8259128712475,3641.831134504985,3641.695836749839,3641.833738247753,3641.8515767356894,3641.807651947309,
Client2_usingDevice,,Client2,Client2,Client2,Client2,Client2,Client2,Client2,Client2,
Client3__Finaltime,1854.5709620798903,,1854.4995654872316,,,1854.4762908990272,1854.5737766285422,,,1854.5832014520322
Client3_deploytime,0.7389410596906942,,0.7489967946858145,,,0.7239178143081417,0.8191215834344457,,,0.73186370214486
Client3_iteration,500.0,,500.0,,,500.0,500.0,,,500.0
Client3_la,None,,None,,,None,None,,,None
Client3_la_time,0.0,,0.0,,,0.0,0.0,,,0.0
Client3_time,1854.5709620798903,,1854.4995654872316,,,1854.4762908990272,1854.5737766285422,,,1854.5832014520322
Client3_usingDevice,Client3,,Client3,,,Client3,Client3,,,Client3
max_roundtime,1855.4091426897064,3642.635045388555,3642.514811581474,3642.564666167655,3642.6442065549118,3642.4813086938916,3642.6105001760857,3642.6390211256003,3642.6126558234214,1855.3943860411027
total_roundtime,1855.4091426897064,3642.635045388555,3642.514811581474,3642.564666167655,3642.6442065549118,3642.4813086938916,3642.6105001760857,3642.6390211256003,3642.6126558234214,1855.3943860411027
acc_aggre,0.040871052147579516,0.08152930733753153,0.15060855069082335,0.1896554933608844,0.2277679132309901,0.2909067587907904,0.3501284026141594,0.3824480851682481,0.4132266852745412,0.44242261293798857
