,Client1__Finaltime,Client1_deploytime,Client1_iteration,Client1_la,Client1_la_time,Client1_time,Client1_usingDevice,Client2__Finaltime,Client2_deploytime,Client2_iteration,Client2_la,Client2_la_time,Client2_time,Client2_usingDevice,Client3__Finaltime,Client3_deploytime,Client3_iteration,Client3_la,Client3_la_time,Client3_time,Client3_usingDevice,max_roundtime,total_roundtime,acc_aggre
Round1,30.387043916793985,5.452605171984726,500.0,Client1_agent2,30.387043916793985,170.20372476159406,Client1_agent2,,,,,,,,174.79404882064702,6.255638835336406,500.0,Client3_agent1,174.79404882064702,1859.0340549403077,Client3_agent1,181.04968765598343,181.04968765598343,0.040871052147579516
Round2,31.013212247135478,5.852648227699359,500.0,Client1_agent2,31.013212247135478,170.33477866737618,Client1_agent2,176.1284891360139,5.439959843942379,500.0,Client2_agent2,176.1284891360139,3646.896897386792,Client2_agent2,,,,,,,,181.98113736371326,181.98113736371326,0.08152930733753153
Round3,,,,,,,,175.9848129695755,6.010615523105373,500.0,Client2_agent2,175.9848129695755,3646.6278307734647,Client2_agent2,175.08851772628879,5.434954741956613,500.0,Client3_agent1,175.08851772628879,1859.2021507231236,Client3_agent1,181.99542849268087,181.99542849268087,0.15060855069082335
Round4,30.864385799941513,6.146968694323249,500.0,Client1_agent2,30.864385799941513,170.22449161853612,Client1_agent2,172.3768473082226,5.896336081094654,500.0,Client2_agent2,172.3768473082226,3646.568053900148,Client2_agent2,,,,,,,,178.52381600254586,178.52381600254586,0.1896554933608844
Round5,30.597026104892695,5.7013605047767415,500.0,Client1_agent2,30.597026104892695,170.37552305447852,Client1_agent2,174.63833756108474,5.166733290366296,500.0,Client2_agent2,174.63833756108474,3646.9031101038636,Client2_agent2,,,,,,,,180.33969806586148,180.33969806586148,0.2277679132309901
Round6,,,,,,,,174.50793299733516,5.42346633434728,500.0,Client2_agent2,174.50793299733516,3647.187997976098,Client2_agent2,173.08204612469515,5.799507072381011,500.0,Client3_agent1,173.08204612469515,1858.703210254045,Client3_agent1,179.93139933168243,179.93139933168243,0.2909067587907904
Round7,,,,,,,,174.39742783074905,5.683473029521087,500.0,Client2_agent2,174.39742783074905,3647.1869478765625,Client2_agent2,172.876942163711,5.1572009119882765,500.0,Client3_agent1,172.876942163711,1858.995261614525,Client3_agent1,180.08090086027013,180.08090086027013,0.3501284026141594
Round8,30.204798922259076,5.577788499161202,500.0,Client1_agent2,30.204798922259076,169.91471043858246,Client1_agent2,174.37624733792137,6.186173747213449,500.0,Client2_agent2,174.37624733792137,3646.0913133014556,Client2_agent2,,,,,,,,180.56242108513482,180.56242108513482,0.3824480851682481
Round9,30.665659008383898,5.491799829665449,500.0,Client1_agent2,30.665659008383898,170.15832928025338,Client1_agent2,172.6106913940473,6.262557101386554,500.0,Client2_agent2,172.6106913940473,3646.4484163586144,Client2_agent2,,,,,,,,178.87324849543387,178.87324849543387,0.4132266852745412
Round10,30.46751941679753,5.220779938842695,500.0,Client1_agent2,30.46751941679753,170.1626361053055,Client1_agent2,,,,,,,,173.42243487626783,5.206527648346864,500.0,Client3_agent1,173.42243487626783,1859.4721348400408,Client3_agent1,178.64321481511053,178.64321481511053,0.44242261293798857
