,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10
Client1__Finaltime,30.387043916793985,31.013212247135478,,30.864385799941513,30.597026104892695,,,30.204798922259076,30.665659008383898,30.46751941679753
Client1_deploytime,5.452605171984726,5.852648227699359,,6.146968694323249,5.7013605047767415,,,5.577788499161202,5.491799829665449,5.220779938842695
Client1_iteration,500.0,500.0,,500.0,500.0,,,500.0,500.0,500.0
Client1_la,Client1_agent2,Client1_agent2,,Client1_agent2,Client1_agent2,,,Client1_agent2,Client1_agent2,Client1_agent2
Client1_la_time,30.387043916793985,31.013212247135478,,30.864385799941513,30.597026104892695,,,30.204798922259076,30.665659008383898,30.46751941679753
Client1_time,170.20372476159406,170.33477866737618,,170.22449161853612,170.37552305447852,,,169.91471043858246,170.15832928025338,170.1626361053055
Client1_usingDevice,Client1_agent2,Client1_agent2,,Client1_agent2,Client1_agent2,,,Client1_agent2,Client1_agent2,Client1_agent2
Client2__Finaltime,,176.1284891360139,175.9848129695755,172.3768473082226,174.63833756108474,174.50793299733516,174.39742783074905,174.37624733792137,172.6106913940473,
Client2_deploytime,,5.439959843942379,6.010615523105373,5.896336081094654,5.166733290366296,5.42346633434728,5.683473029521087,6.186173747213449,6.262557101386554,
Client2_iteration,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,
Client2_la,,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,
Client2_la_time,,176.1284891360139,175.9848129695755,172.3768473082226,174.63833756108474,174.50793299733516,174.39742783074905,174.37624733792137,172.6106913940473,
Client2_time,,3646.896897386792,3646.6278307734647,3646.568053900148,3646.9031101038636,3647.187997976098,3647.1869478765625,3646.0913133014556,3646.4484163586144,
Client2_usingDevice,,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,Client2_agent2,
Client3__Finaltime,174.79404882064702,,175.08851772628879,,,173.08204612469515,172.876942163711,,,173.42243487626783
Client3_deploytime,6.255638835336406,,5.434954741956613,,,5.799507072381011,5.1572009119882765,,,5.206527648346864
Client3_iteration,500.0,,500.0,,,500.0,500.0,,,500.0
Client3_la,Client3_agent1,,Client3_agent1,,,Client3_agent1,Client3_agent1,,,Client3_agent1
Client3_la_time,174.79404882064702,,175.08851772628879,,,173.08204612469515,172.876942163711,,,173.42243487626783
Client3_time,1859.0340549403077,,1859.2021507231236,,,1858.703210254045,1858.995261614525,,,1859.4721348400408
Client3_usingDevice,Client3_agent1,,Client3_agent1,,,Client3_agent1,Client3_agent1,,,Client3_agent1
max_roundtime,181.04968765598343,181.98113736371326,181.99542849268087,178.52381600254586,180.33969806586148,179.93139933168243,180.08090086027013,180.56242108513482,178.87324849543387,178.64321481511053
total_roundtime,181.04968765598343,181.98113736371326,181.99542849268087,178.52381600254586,180.33969806586148,179.93139933168243,180.08090086027013,180.56242108513482,178.87324849543387,178.64321481511053
acc_aggre,0.040871052147579516,0.08152930733753153,0.15060855069082335,0.1896554933608844,0.2277679132309901,0.2909067587907904,0.3501284026141594,0.3824480851682481,0.4132266852745412,0.44242261293798857
