,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10
Client1__Finaltime,170.3225630378555,170.02756627993486,,170.36975817296045,170.04649260184007,,,170.0762100071871,170.10417458988428,170.3111013134168
Client1_deploytime,6.285501399215257,5.921039360402599,,5.985178433910131,6.1308657699157365,,,5.076580652396123,5.504413810567256,5.2407687311231435
Client1_iteration,500.0,500.0,,500.0,500.0,,,500.0,500.0,500.0
Client1_la,None,None,,None,None,,,None,None,None
Client1_la_time,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0
Client1_time,170.3225630378555,170.02756627993486,,170.36975817296045,170.04649260184007,,,170.0762100071871,170.10417458988428,170.3111013134168
Client1_usingDevice,Client1,Client1,,Client1,Client1,,,Client1,Client1,Client1
Client2__Finaltime,,3647.1594160862314,3646.389667270038,3646.897257822501,3646.7028092232376,3646.4676458613344,3646.1457621250775,3647.1614337691067,3646.080004690367,
Client2_deploytime,,6.091876220181753,6.303861888584847,5.4603622008489054,5.513930145326949,6.1070378855585945,6.08994225730206,5.837493362385806,5.716886977422506,
Client2_iteration,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,
Client2_la,,None,None,None,None,None,None,None,None,
Client2_la_time,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Client2_time,,3647.1594160862314,3646.389667270038,3646.897257822501,3646.7028092232376,3646.4676458613344,3646.1457621250775,3647.1614337691067,3646.080004690367,
Client2_usingDevice,,Client2,Client2,Client2,Client2,Client2,Client2,Client2,Client2,
Client3__Finaltime,1859.0038440648664,,1859.610573018432,,,1859.3214470112723,1859.0080329047166,,,1859.9374836436618
Client3_deploytime,6.052640943618814,,5.219596752940978,,,5.56723842056333,5.215241428473491,,,5.19277212283522
Client3_iteration,500.0,,500.0,,,500.0,500.0,,,500.0
Client3_la,None,,None,,,None,None,,,None
Client3_la_time,0.0,,0.0,,,0.0,0.0,,,0.0
Client3_time,1859.0038440648664,,1859.610573018432,,,1859.3214470112723,1859.0080329047166,,,1859.9374836436618
Client3_usingDevice,Client3,,Client3,,,Client3,Client3,,,Client3
max_roundtime,1865.2893454640816,3653.2512923064132,3652.693529158623,3652.8824362564114,3652.833674993153,3652.574683746893,3652.2357043823795,3652.9989271314926,3651.796891667789,1865.178252374785
total_roundtime,1865.2893454640816,3653.2512923064132,3652.693529158623,3652.8824362564114,3652.833674993153,3652.574683746893,3652.2357043823795,3652.9989271314926,3651.796891667789,1865.178252374785
acc_aggre,0.040871052147579516,0.08152930733753153,0.15060855069082335,0.1896554933608844,0.2277679132309901,0.2909067587907904,0.3501284026141594,0.3824480851682481,0.4132266852745412,0.44242261293798857
